"f07_hh_id","s08_heads_child_cnt","s08_girls_cnt","s08_age_cnt","s08_duration_village_cnt","s08_age_head_cnt","s08_yrs_ed_head_cnt","s08_num_ppl_hh_cnt","s08_jeribs_cnt","s08_num_sheep_cnt","s08_farsi_cnt","s08_tajik_cnt","s08_farmer_cnt","s08_test_observed","f07_heads_child_cnt","f07_girl_cnt","f07_age_cnt","f07_age_head_cnt","f07_yrs_ed_head_cnt","f07_jeribs_cnt","f07_num_sheep_cnt","f07_duration_village_cnt","f07_farsi_cnt","f07_tajik_cnt","f07_farmer_cnt","f07_num_ppl_hh_cnt","f07_test_observed","f07_observed","s08_observed","treatment","clustercode","chagcharan","f07_formal_school","s08_formal_school","f07_nearest_scl","s08_nearest_scl","f07_both_norma_total","s08_both_norma_total","s08_hh_id","observation_id"
"NM",1,1,10,35,35,0,5,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,12,0,NA,0,NA,0.29176276922226,NA,-0.701894998550415,"V19.R04N",1102
"NM",1,0,8,35,35,0,5,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,12,0,NA,0,NA,0.29176276922226,NA,-1.02227532863617,"V19.R04N",1103
"V19.J08",1,1,8,35,35,0,7,1,3,0,1,1,1,1,1,7,40,0,1,0,40,0,0,1,7,1,1,1,1,12,0,0,1,0.287548869848251,0.280509680509567,-0.65545779466629,-0.221324443817139,"V19.R05N",1104
"NM",1,0,6,35,35,0,7,1,3,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,12,0,NA,0,NA,0.280509680509567,NA,-0.862085163593292,"V19.R05N",1105
"V19.J08",1,1,10,35,35,0,7,1,3,0,1,1,1,1,1,8,40,0,1,0,40,0,0,1,7,1,1,1,1,12,0,1,1,0.287548869848251,0.280509680509567,-0.923688888549805,-0.221324443817139,"V19.R05N",1106
"V19.J09",1,1,10,60,60,0,15,2,10,1,0,0,1,1,1,10,25,0,1,5,25,1,0,0,14,1,1,1,1,12,0,1,1,0.240574166178703,0.239268317818642,0.819813132286072,1.78105270862579,"V19.R06N",1107
"V19.J09",1,0,7,60,60,0,15,2,10,1,0,0,1,1,0,6,25,0,1,5,25,1,0,0,14,1,1,1,1,12,0,0,0,0.240574166178703,0.239268317818642,-0.65545779466629,0.339341163635254,"V19.R06N",1108
"V19.J09",1,0,8,60,60,0,15,2,10,1,0,0,1,1,0,9,25,0,1,5,25,1,0,0,14,1,1,1,1,12,0,1,1,0.240574166178703,0.239268317818642,2.29508399963379,2.66209864616394,"V19.R06N",1109
"V19.G11",1,0,6,25,25,0,6,0,5,1,0,1,1,1,0,6,30,0,0,0,40,0,0,1,6,1,1,1,1,12,0,0,0,0.263954788446426,0.265951633453369,-1.19191992282867,-1.26256060600281,"V19.R07N",1110
"V19.J03",1,1,10,30,50,3,9,5,10,0,0,1,1,1,1,10,50,0,1,12,50,1,0,1,8,1,1,1,1,12,0,1,1,0.716630458831787,0.722835421562195,0.0151199074462056,0.739816606044769,"V19.S01N",1111
"V19.G01",1,1,9,70,43,4,5,1,8,0,0,0,1,1,1,8,40,3,2,5,30,0,0,1,5,1,1,1,1,12,0,1,1,0.776646733283997,0.728184282779694,0.551582038402557,-0.221324443817139,"V19.S02N",1112
"V19.N07",1,0,8,30,40,3,7,0,0,0,0,1,1,1,0,7,40,3,0,0,14,0,0,1,12,1,1,1,1,12,0,1,1,0.0553174801170826,0.0524990595877171,0.819813132286072,0.419436246156693,"V19.S04N",1113
"NM",1,0,11,30,40,3,7,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,12,0,NA,0,NA,0.0524990595877171,NA,2.02133798599243,"V19.S04N",1114
"V19.L10",1,1,10,30,50,5,11,0,10,0,1,1,1,1,1,9,50,3,0,5,50,0,1,1,10,1,1,1,1,12,0,1,1,0.139987871050835,0.1418147534132,1.49039089679718,0.659721493721008,"V19.S06N",1115
"V19.L10",1,0,11,30,50,5,11,0,10,0,1,1,1,1,0,10,50,3,0,5,50,0,1,1,10,0,1,1,1,12,0,1,1,0.139987871050835,0.1418147534132,NA,2.66209864616394,"V19.S06N",1116
"NM",1,1,6,30,50,5,11,0,10,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,12,0,NA,0,NA,0.1418147534132,NA,-0.942180216312408,"V19.S06N",1117
